class_number	class_name	descriptor	start_line	end_line	direct_methods	virtual_methods
2554	BluetoothMetricsProto.DeviceInfo.DeviceType.1	Lcom/android/bluetooth/BluetoothMetricsProto$DeviceInfo$DeviceType$1;	420048	420071	1	2
2555	BluetoothMetricsProto.DeviceInfo.DeviceType	Lcom/android/bluetooth/BluetoothMetricsProto$DeviceInfo$DeviceType;	420072	420179	7	1
2556	BluetoothMetricsProto.DeviceInfoOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$DeviceInfoOrBuilder;	420180	420195	0	4
2557	BluetoothMetricsProto.HeadsetProfileConnectionStatsOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$HeadsetProfileConnectionStatsOrBuilder;	420196	420211	0	4
2558	BluetoothMetricsProto.HeadsetProfileType.1	Lcom/android/bluetooth/BluetoothMetricsProto$HeadsetProfileType$1;	420212	420235	1	2
2559	BluetoothMetricsProto.HeadsetProfileType	Lcom/android/bluetooth/BluetoothMetricsProto$HeadsetProfileType;	420236	420333	7	1
2560	BluetoothMetricsProto.PairEventOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$PairEventOrBuilder;	420334	420355	0	6
2561	BluetoothMetricsProto.ProfileConnectionStatsOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$ProfileConnectionStatsOrBuilder;	420356	420371	0	4
2562	BluetoothMetricsProto.ProfileId.1	Lcom/android/bluetooth/BluetoothMetricsProto$ProfileId$1;	420372	420395	1	2
2563	BluetoothMetricsProto.ProfileId	Lcom/android/bluetooth/BluetoothMetricsProto$ProfileId;	420396	420660	7	1
2564	BluetoothMetricsProto.RFCommSessionOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$RFCommSessionOrBuilder;	420661	420676	0	4
2565	BluetoothMetricsProto.ScanEvent.ScanEventType.1	Lcom/android/bluetooth/BluetoothMetricsProto$ScanEvent$ScanEventType$1;	420677	420700	1	2
2566	BluetoothMetricsProto.ScanEvent.ScanEventType	Lcom/android/bluetooth/BluetoothMetricsProto$ScanEvent$ScanEventType;	420701	420790	7	1
2567	BluetoothMetricsProto.ScanEvent.ScanTechnologyType.1	Lcom/android/bluetooth/BluetoothMetricsProto$ScanEvent$ScanTechnologyType$1;	420791	420814	1	2
2568	BluetoothMetricsProto.ScanEvent.ScanTechnologyType	Lcom/android/bluetooth/BluetoothMetricsProto$ScanEvent$ScanTechnologyType;	420815	420922	7	1
2569	BluetoothMetricsProto.ScanEventOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$ScanEventOrBuilder;	420923	420959	0	11
2570	BluetoothMetricsProto.WakeEvent.WakeEventType.1	Lcom/android/bluetooth/BluetoothMetricsProto$WakeEvent$WakeEventType$1;	420960	420983	1	2
2571	BluetoothMetricsProto.WakeEvent.WakeEventType	Lcom/android/bluetooth/BluetoothMetricsProto$WakeEvent$WakeEventType;	420984	421081	7	1
2572	BluetoothMetricsProto.WakeEventOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$WakeEventOrBuilder;	421082	421115	0	10
2573	A2dpService.BluetoothA2dpBinder	Lcom/android/bluetooth/a2dp/A2dpService$BluetoothA2dpBinder;	421116	421412	2	20
2574	A2dpService	Lcom/android/bluetooth/a2dp/A2dpService;	421413	423567	14	34
2575	A2dpSinkService.BluetoothA2dpSinkBinder	Lcom/android/bluetooth/a2dpsink/A2dpSinkService$BluetoothA2dpSinkBinder;	423568	423734	2	10
2576	A2dpSinkService	Lcom/android/bluetooth/a2dpsink/A2dpSinkService;	423735	424147	4	17
2577	-..Lambda.AvrcpNativeInterface.vNJITuoaCzOnnbl8EHU94oBzRuA	Lcom/android/bluetooth/avrcp/-$$Lambda$AvrcpNativeInterface$vNJITuoaCzOnnbl8EHU94oBzRuA;	424148	424168	1	1
2578	-..Lambda.AvrcpNativeInterface.yqsIIES5LBrM35GDVi_3FCOWPYA	Lcom/android/bluetooth/avrcp/-$$Lambda$AvrcpNativeInterface$yqsIIES5LBrM35GDVi_3FCOWPYA;	424169	424189	1	1
