root,file,line,class,method,kind,description,excerpt
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/SimpleApp.java,48,SimpleApp,SimpleApp,pending_intent,PendingIntent or callback dispatch,"return new SimpleApp(app.getPackageName(), app.getActivityName(), app.getAsin(), app.getLastUsageTime(), app.wasAccessed(), app.isSuppressed(), cardAppIconInventory.createImageFile(app.getPackageName(), app.getActivityName()).getAbsolutePath(), getAppType(app.getPackageName(), app.getAsin(), packageManagerUtils, appstoreLockerFacade), packageManagerUtils.getAppLabel(app.getPackageName(), app.getActivityName()));"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/SimpleApp.java,52,SimpleApp,SimpleApp,pending_intent,PendingIntent or callback dispatch,"return new SimpleApp(app.getPackageName(), app.getActivityName(), app.getAsin(), app.getLastUsageTime(), app.wasAccessed(), app.isSuppressed(), app.getImagePath(), app.getType(), packageManagerUtils.getAppLabel(app.getPackageName(), app.getActivityName()));"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/SimpleApp.java,57,SimpleApp,SimpleApp,pending_intent,PendingIntent or callback dispatch,"return new SimpleApp(app.getPackageName(), app.getActivityName(), asin, app.getLastUsageTime(), app.wasAccessed(), app.isSuppressed(), app.getImagePath(), getAppType(app.getPackageName(), asin, packageManagerUtils, appstoreLockerFacade), app.getLabel());"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/SimpleApp.java,161,SimpleApp,getActivityName,pending_intent,PendingIntent or callback dispatch,public String getActivityName() {
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/database/DefaultAppRecencyDao.java,14,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.appsgrid.db.AppMetadata;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/database/DefaultAppRecencyDao.java,15,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.images.LauncherSicsCache;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/database/DefaultAppRecencyDao.java,16,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.reccardproducer.cards.ActionBuilder;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/database/DefaultAppRecencyDao.java,256,DefaultAppRecencyDao,getDatabase,pending_intent,PendingIntent or callback dispatch,"getDatabase().update(""APP_RECENCY"", contentValues, ""package_name = ? AND activity_name = ?"", new String[]{appId.getPackageName(), appId.getActivityName()});"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/database/DefaultAppRecencyDao.java,267,DefaultAppRecencyDao,getDatabase,pending_intent,PendingIntent or callback dispatch,"getDatabase().update(""APP_RECENCY"", contentValues, ""package_name = ? AND activity_name = ?"", new String[]{appId.getPackageName(), appId.getActivityName()});"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/database/DefaultAppRecencyDao.java,299,DefaultAppRecencyDao,deleteApps,pending_intent,PendingIntent or callback dispatch,"database.delete(""APP_RECENCY"", ""package_name = ? AND activity_name = ?"", new String[]{appId.getPackageName(), appId.getActivityName()});"
